type,registration_no,name,dob,place,sex,father,mother,cause,created_at
birth,REG-0968,Isaac Hanna,1958-02-21,New Ashleyborough,F,Timothy Stanley,Erica Ellis,,2025-11-13T04:44:22.192989
birth,REG-0969,Jeremy Jones,1987-01-03,West Jennifer,O,Jordan Torres,Destiny Mcdonald,,2025-11-13T04:44:22.193724
death,REG-0970,Holly Delacruz,,Port Jennifermouth,,,,Disease,2025-11-13T04:44:22.194456
birth,REG-0971,Thomas Farrell,1979-02-10,Lake Walter,M,Joseph Baker,Jillian Cline,,2025-11-13T04:44:22.194751
death,REG-0972,Brent Jones,,Dixonfurt,,,,Unknown,2025-11-13T04:44:22.195502
death,REG-0973,Christopher Nguyen,,West Joseburgh,,,,Disease,2025-11-13T04:44:22.208012
birth,REG-0974,Carrie Allen,1985-08-16,North Cynthiafort,M,Jeremy Green,Susan Sanchez,,2025-11-13T04:44:22.208360
birth,REG-0975,Daniel Taylor,2010-10-27,Riosland,M,Christopher Miller,Sharon Mooney,,2025-11-13T04:44:22.209128
birth,REG-0976,Ashley Rowe,1960-06-06,South Robertofurt,M,Eric Tran,Summer Stephens,,2025-11-13T04:44:22.209828
birth,REG-0977,Elizabeth Little,1984-04-29,Duffyburgh,M,David Mcfarland,Whitney Livingston,,2025-11-13T04:44:22.210575
birth,REG-0978,Joe Bean,1948-11-08,South Dawn,O,Michael Jones,Heather Sullivan,,2025-11-13T04:44:22.211277
death,REG-0979,Erica Curry,,Richardstad,,,,Disease,2025-11-13T04:44:22.212053
birth,REG-0980,Gary Figueroa,1983-11-19,New Andre,F,Jason Walker,Sharon Johnson,,2025-11-13T04:44:22.212355
birth,REG-0981,Amber Douglas,1973-01-15,East Rogerfort,F,Shane Allen,Deborah Mullins,,2025-11-13T04:44:22.213053
death,REG-0982,Patricia Andrews,,South Tracy,,,,Disease,2025-11-13T04:44:22.213807
death,REG-0983,Alexis Baxter,,Kochtown,,,,Disease,2025-11-13T04:44:22.214149
death,REG-0984,Mrs. Tina Martinez,,Duarteville,,,,Natural,2025-11-13T04:44:22.214542
birth,REG-0985,Elizabeth Cortez,2017-10-12,Timothybury,O,Donald Armstrong,Nancy Mcdonald,,2025-11-13T04:44:22.214847
death,REG-0986,Andrew Black,,Morrisport,,,,Natural,2025-11-13T04:44:22.215656
birth,REG-0987,Tanya Gibbs,2020-06-07,New Jamie,M,Cody Smith,Kelly Maynard,,2025-11-13T04:44:22.215974
death,REG-0988,William Simmons,,East Donnaport,,,,Unknown,2025-11-13T04:44:22.216732
death,REG-0989,Caitlin Franklin,,Brewermouth,,,,Disease,2025-11-13T04:44:22.217084
death,REG-0990,Jeremy Mendez,,Port Angelmouth,,,,Accident,2025-11-13T04:44:22.217380
birth,REG-0991,Emily Farley,1973-08-04,East Karenborough,F,Edward Callahan,Tracy Simpson,,2025-11-13T04:44:22.217736
death,REG-0992,Matthew Cook,,Gallowayhaven,,,,Accident,2025-11-13T04:44:22.218473
birth,REG-0993,Holly Kerr MD,1989-07-24,Port Randyshire,M,James White,Stephanie Jones,,2025-11-13T04:44:22.218837
birth,REG-0994,Amy Wyatt,1946-11-24,West Paul,F,Ray Little,Julie Vega,,2025-11-13T04:44:22.219538
birth,REG-0995,Nathan Archer,1948-03-26,Mullinsburgh,O,Michael Montes,Katherine Barnett,,2025-11-13T04:44:22.220353
death,REG-0996,Deborah Oconnell,,Katherineside,,,,Natural,2025-11-13T04:44:22.221147
death,REG-0997,Christina Hurst,,New Michaelton,,,,Unknown,2025-11-13T04:44:22.221462
death,REG-0998,Alison Brown PhD,,Port Johnshire,,,,Accident,2025-11-13T04:44:22.221770
birth,REG-0999,Carrie Flores,1963-07-30,Gregoryhaven,O,Edwin Sawyer,Maria Wilkinson,,2025-11-13T04:44:22.222132
death,REG-1000,Amy Ford,,East Michaelburgh,,,,Disease,2025-11-13T04:44:22.222838
